,public_metrics,text,author_id,created_at,id,edit_history_tweet_ids
0,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",Is it over ðŸ˜­ #CashAppFriday https://t.co/QcjObIICX0,1280761062,2025-09-05T19:02:14.000Z,1964041398333637090,['1964041398333637090']
1,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","RT @bigtimeLuca: Is #CashAppFriday back for real? Bet 

Like &amp; Drop your CashApp

Iâ€™m blessing a few active followers âœ…",1257222162999623682,2025-09-05T19:02:12.000Z,1964041390800711734,['1964041390800711734']
2,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",C'mon #CashAppFriday,1377316200095551496,2025-09-05T19:02:11.000Z,1964041387709489295,['1964041387709489295']
3,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",@CashApp #CashAppFriday $ckgthedonchi https://t.co/ZAMStkueVb https://t.co/Tgt5QPGKIp,1692268994487881728,2025-09-05T19:02:11.000Z,1964041387693011315,['1964041387693011315']
4,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","@CashApp  #CashAppFriday 
I owe yâ€™all like $100 help me out here $Joyn3r90 https://t.co/cYnFLEDa0L",796170088617480192,2025-09-05T19:02:07.000Z,1964041372228333885,['1964041372228333885']
5,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}","@CashApp It's Friiiiidaaaaayyyyy! Time to play!  
ðŸ’šðŸ‘€
#CashAppFriday",959131658640330752,2025-09-05T19:01:59.000Z,1964041337952403884,['1964041337952403884']
6,"{'retweet_count': 3, 'reply_count': 7, 'like_count': 12, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 21}","Is #CashAppFriday back for real? Bet 

Like &amp; Drop your CashApp

Iâ€™m blessing a few active followers âœ…",1337096562749677575,2025-09-05T19:01:59.000Z,1964041336803168443,['1964041336803168443']
7,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",@CashApp #CashAppFriday,1352199789530783746,2025-09-05T19:01:50.000Z,1964041301235470478,['1964041301235470478']
8,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",@CashApp I heard yall was being nice to folks on a Good Friday ðŸ‘€  #CashAppFriday $Preme150,46560708,2025-09-05T19:01:44.000Z,1964041274018746452,['1964041274018746452']
9,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}","@CashApp I too would like to feel seen.. LOL

#CashAppFriday

$TheKidFromBrooklyn",297945249,2025-09-05T19:01:34.000Z,1964041231039619415,['1964041231039619415']
